Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Product_Category,Product_Name,Sales,Quantity,Profit,Discount
1494,2026-01-05,20,Rebecca Hernandez,East,Technology,Hour,925.56,7,216.47,0.17
1159,2024-07-22,176,Patricia Fox,North,Office Supplies,Job,436.6,7,-39.06,0.08
1918,2024-08-19,121,Jacob Brown,South,Technology,Possible,271.83,3,228.47,0.41
1157,2025-08-04,62,Benjamin Barrera,West,Technology,Country,312.89,3,198.45,0.03
1851,2025-06-09,124,Andrew Ruiz,West,Office Supplies,Wrong,959.09,6,78.66,0.12
1494,2024-11-18,146,Taylor Hernandez,North,Furniture,Catch,816.31,2,48.38,0.31
1221,2025-10-27,98,Madeline Murphy,South,Technology,Health,696.46,9,166.89,0.36
1376,2025-09-30,53,Brian Sanchez,North,Office Supplies,After,679.51,5,105.37,0.23
1520,2026-03-13,160,Melanie Preston,East,Office Supplies,Ground,952.81,4,219.65,0.28
1165,2025-05-06,193,Samantha Hess,North,Office Supplies,Standard,339.14,8,255.9,0.03
1822,2025-06-07,148,Aaron Garcia,North,Furniture,Someone,97.87,3,224.96,0.47
1463,2025-02-18,170,Jenny Hamilton,South,Technology,Surface,970.96,2,18.62,0.47
1328,2024-06-05,184,Derrick Downs,North,Office Supplies,Threat,832.58,9,179.9,0.16
1994,2026-03-05,84,Austin Holmes,East,Technology,Bed,176.0,6,19.89,0.18
1213,2025-06-26,137,Steven Kramer,East,Technology,Skill,495.85,10,80.55,0.15
1349,2025-03-20,71,Susan Foster,North,Furniture,More,177.64,2,75.64,0.47
1206,2025-03-24,9,Alicia Young,North,Office Supplies,Quality,866.89,4,25.02,0.47
1478,2026-03-31,200,David Smith,East,Office Supplies,Whose,281.76,2,-28.29,0.22
1236,2025-03-01,82,Marie Turner,South,Office Supplies,Space,930.5,7,-24.95,0.34
1427,2024-10-25,125,Shawn Bryant,North,Office Supplies,Price,179.78,10,102.31,0.15
1214,2024-11-18,195,Steven Fernandez,South,Furniture,Which,242.45,1,147.17,0.45
1128,2024-10-16,10,Caroline Wade,West,Office Supplies,Picture,418.66,9,260.43,0.25
1005,2026-02-19,102,Kelsey Young,East,Furniture,Large,643.54,8,206.79,0.3
1605,2025-04-20,107,Mary Hall,East,Furniture,Alone,673.63,7,272.69,0.24
1981,2024-06-22,6,William Robertson,North,Technology,Bill,608.15,5,225.42,0.18
1822,2026-02-13,168,Kelly Maxwell,North,Technology,News,454.99,3,149.52,0.47
1897,2024-05-24,156,Christopher Burton DDS,East,Technology,Modern,277.14,7,86.26,0.35
1411,2025-03-18,44,Sharon Goodman,South,Technology,Me,725.29,1,274.82,0.21
1076,2024-06-12,38,Leslie Barnett,West,Office Supplies,Song,954.17,8,246.5,0.46
1832,2024-07-23,103,John Jackson,West,Office Supplies,Her,252.04,5,225.52,0.25
1036,2024-08-18,8,Tanya Ryan,North,Office Supplies,Kitchen,911.83,10,164.41,0.06
1293,2024-05-29,7,Aaron Santiago,East,Office Supplies,Major,463.67,7,-2.11,0.5
1077,2025-09-15,127,Jessica Campbell,West,Office Supplies,Positive,362.32,9,147.03,0.27
1856,2025-03-11,100,Joseph Curtis,South,Office Supplies,Cover,912.4,4,222.74,0.15
1413,2024-08-03,98,Julie Green,South,Office Supplies,Send,53.06,6,7.69,0.15
1918,2026-01-23,7,Sarah Brown,West,Furniture,Soldier,476.68,10,63.29,0.05
1172,2025-04-23,132,Roy Norman,West,Technology,Never,271.02,3,97.61,0.21
1594,2025-08-10,59,Danielle Bowman,West,Technology,Street,976.32,1,2.06,0.1
1335,2025-05-17,134,Bradley Lopez,North,Furniture,First,935.52,4,82.41,0.29
1411,2025-03-30,192,Antonio Henry,North,Furniture,So,96.13,9,73.92,0.32
1825,2026-01-17,49,Elizabeth Martinez,East,Furniture,Case,,9,26.35,0.17
1389,2024-11-08,180,Jerry Price,South,Furniture,Might,386.23,6,25.34,0.01
1177,2026-01-09,37,Linda Jackson,South,Technology,Garden,373.81,3,66.87,0.15
1747,2026-02-19,197,Richard Bennett,North,Office Supplies,Party,352.82,10,213.61,0.16
1124,2025-05-18,17,Warren Williams,East,Technology,Field,376.54,9,73.71,0.47
1967,2026-01-14,105,Tristan Singh,East,Office Supplies,Various,739.68,2,149.73,0.25
1302,2024-12-02,151,Shelly Wade,South,Furniture,Bit,391.4,3,-5.37,0.27
1432,2025-11-07,135,Samantha Werner,South,Furniture,Tonight,137.22,3,198.68,0.32
1609,2024-07-17,197,Alexandra English,East,Office Supplies,Show,900.39,2,155.27,0.05
1115,2025-03-28,163,Mark Rodriguez,South,Technology,Trial,117.49,7,176.2,0.19
1465,2025-12-05,198,James Long,North,Office Supplies,Key,615.23,6,234.08,0.34
1982,2024-06-03,130,Makayla Conley,North,Office Supplies,History,,4,158.56,0.45
1859,2024-09-02,128,Elizabeth Moreno,North,Technology,Either,70.71,7,187.98,0.41
1158,2025-12-02,191,Russell Cortez,East,Furniture,Project,355.32,8,289.58,0.02
1749,2024-11-25,126,Nicole Mathews,East,Furniture,Run,658.04,3,177.53,0.14
1116,2024-07-22,57,Eddie Brown,East,Technology,Friend,86.85,5,41.54,0.41
1781,2026-04-21,152,Cynthia Berry,South,Office Supplies,Range,603.36,5,280.47,0.12
1332,2025-07-17,52,Darrell Garcia,West,Office Supplies,Any,305.09,1,186.29,0.2
1532,2024-12-25,114,Mr. Bryan Wood,West,Furniture,Yourself,485.87,5,-3.75,0.18
1447,2024-09-15,28,Casey Ford,West,Office Supplies,Bed,392.6,2,79.21,0.26
1417,2025-05-07,53,Gary Wilson MD,North,Furniture,About,796.96,4,137.98,0.5
1318,2024-06-24,73,Cassie Little,East,Technology,Walk,710.59,1,241.8,0.22
1937,2025-08-10,184,Kara Johnson,East,Office Supplies,How,986.97,7,13.69,0.4
1157,2025-12-23,81,Sarah Zamora,North,Office Supplies,Few,242.42,2,226.34,0.2
1080,2024-07-28,177,Alex Ray,North,Office Supplies,Send,999.38,2,178.36,0.43
1809,2025-12-19,95,Kristy Hogan,West,Office Supplies,Seek,827.75,3,72.85,0.23
1828,2024-08-28,7,Samuel Lester,South,Technology,Pass,861.2,7,272.71,0.34
1979,2025-06-29,154,Blake Adams,West,Furniture,Civil,185.59,5,236.03,0.46
1896,2026-03-31,124,Michael Mcgee,North,Office Supplies,Majority,882.73,4,120.65,0.14
1740,2025-08-30,30,Judith Stephens,East,Furniture,College,646.23,3,-48.29,0.01
1267,2024-10-06,106,Samantha Adams,East,Office Supplies,Here,929.24,5,-48.46,0.35
1724,2026-03-05,37,Cynthia Taylor,North,Technology,Gas,727.82,9,277.11,0.42
1327,2024-09-02,114,Patricia Abbott,West,Furniture,Explain,85.31,5,124.23,0.1
1085,2024-09-14,190,Larry Gutierrez,South,Furniture,Bad,902.76,1,58.57,0.06
1115,2025-07-01,60,Shawn Robinson,South,Technology,Around,183.15,6,219.44,0.49
1938,2026-03-21,157,Michelle Taylor,East,Office Supplies,Hear,458.5,8,215.82,0.24
1241,2024-07-06,101,,South,Office Supplies,Exist,730.92,10,67.82,0.19
1927,2025-05-01,20,Erica Lewis,North,Office Supplies,Should,475.92,9,-14.97,0.27
1558,2024-07-02,196,Brad Jackson,South,Technology,Establish,338.05,8,193.02,0.3
1337,2024-09-06,18,Susan Maldonado,East,Technology,Fly,297.41,10,152.21,0.33
1399,2025-08-13,143,Tara Walker,South,Technology,Certainly,869.98,10,39.51,0.29
1691,2025-05-25,200,Matthew Parker,South,Furniture,Together,340.71,1,142.4,0.41
1962,2024-08-23,132,Daniel Maynard,East,Furniture,Hear,330.97,8,108.21,0.21
1385,2024-07-07,155,Edward Gonzalez,South,Office Supplies,What,68.19,7,254.87,0.38
1971,2025-01-08,101,David Harrison,West,Technology,Human,410.23,7,75.22,0.07
1080,2025-02-08,5,Brandon Nash,East,Office Supplies,Ball,546.61,10,292.81,0.23
1739,2024-12-01,153,Shannon Lowe,East,Furniture,Interesting,469.12,3,286.7,0.33
1954,2024-09-15,188,Ryan Waters,South,Technology,Before,758.12,3,99.58,0.16
1245,2024-07-04,105,Vincent Williams,South,Office Supplies,Term,766.4,5,284.02,0.41
1919,2024-12-26,146,Lori Soto,West,Furniture,Administration,575.7,10,25.95,0.46
1372,2025-09-22,108,Tracy Farmer,North,Furniture,Amount,880.82,9,99.48,0.41
1211,2025-10-13,141,Emily Allen,East,Office Supplies,Yourself,517.0,4,174.01,0.38
1887,2025-07-22,50,Gary Allison,North,Technology,Top,564.25,7,232.93,0.16
1653,2026-03-07,26,Heather Bradley,North,Furniture,Good,385.1,10,167.63,0.06
1764,2024-08-13,91,Jason Flores,South,Office Supplies,Never,856.97,5,47.86,0.44
1815,2025-12-03,94,Cheryl Moore,North,Office Supplies,Dream,893.87,7,135.6,0.32
1010,2025-10-05,66,Rebecca Whitaker,West,Technology,Kid,496.01,9,,0.07
1534,2025-05-16,92,Bethany Mcfarland,North,Furniture,Choose,235.64,9,182.27,0.48
1726,2025-12-23,182,Rebecca Cline,West,Furniture,Wind,231.02,4,273.59,0.04
1223,2024-10-14,199,Emma Green,North,Technology,Green,237.69,6,36.86,0.19
1155,2025-01-24,76,Amanda Rhodes,North,Office Supplies,These,203.97,5,138.94,0.21
1038,2025-04-02,99,Regina Jones,South,Office Supplies,Peace,210.87,1,233.29,0.26
1390,2025-06-14,95,Leah Ferguson,South,Technology,Wait,490.09,10,163.39,0.2
1190,2024-06-06,27,Jonathon Young,South,Office Supplies,Be,167.5,10,225.61,0.34
1110,2025-11-02,185,Lori Stevens,East,Furniture,Class,914.08,10,55.42,0.2
1077,2025-08-27,4,Jennifer Lopez,South,Technology,Bar,971.19,7,166.99,0.25
1703,2025-02-24,29,Christopher Ray,North,Technology,Address,373.99,10,59.61,0.28
1284,2025-10-04,36,Rebecca Nguyen,West,Technology,Improve,618.13,3,48.71,0.4
1640,2025-06-06,117,Randy Robinson,South,Technology,Performance,945.21,8,261.28,0.02
1537,2025-02-07,84,Troy Joyce,South,Furniture,Development,875.32,5,-35.53,0.45
1143,2025-07-19,70,Nancy Mcdonald,East,Technology,Simply,675.45,5,48.58,0.5
1893,2026-04-23,64,James Williams,North,Furniture,Become,498.45,7,149.79,0.31
